cd_mun,nm_municip,sigla,munic_ha,uctia_ha,imrur_ha,adpv_ha,cd_geocmi,nm_micro,cd_geocuf_,nm_estado_,nm_regiao,mu_bio,mi_bio,n_imrur,propre_ha,im_di_ha
5300108,BRASÍLIA,DF,576078257707,781884011724,408295151107,150254878742,53001,BRASÍLIA,53,DISTRITO FEDERAL,CENTRO-OESTE,Cerrado,Cerrado,13821,228443279915,258040272365
3300100,ANGRA DOS REIS,RJ,813210148147,474898430695,994634527779,684006509144,33013,BAÍA DA ILHA GRANDE,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,196,543299081609,310628018636
3300159,APERIBÉ,RJ,945418974252,33241843075,485352550815,85238935895,33002,SANTO ANTÔNIO DE PÁDUA,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,288,118480778971,400113614919
3300209,ARARUAMA,RJ,638149837512,81806956619,300181411512,648320310654,33010,LAGOS,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,547,730127267274,235349380446
3300225,AREAL,RJ,110723819947,0,578423106012,24941883204,33005,TRÊS RIOS,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,127,24941883204,329004273972
3300233,ARMAÇÃO DOS BÚZIOS,RJ,709776284327,130908378257,156993726555,45699752275,33010,LAGOS,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,9,176608130532,11129397428
3300258,ARRAIAL DO CABO,RJ,152105530533,294703801376,73862681535,72959526316,33010,LAGOS,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,3,367663327691,903155219
3300308,BARRA DO PIRAÍ,RJ,584609525374,338476756618,351089054115,134248149685,33012,BARRA DO PIRAÍ,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,460,168095825347,216840904429
3300407,BARRA MANSA,RJ,547133352026,19419904986,301783547654,952007273035,33011,VALE DO PARAÍBA FLUMINENSE,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,383,114620632289,20658282035
3300456,BELFORD ROXO,RJ,789854218286,0,3946880311,1122622277,33018,RIO DE JANEIRO,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,2,1122622277,28242580341
3300506,BOM JARDIM,RJ,382430208397,1302101995,261012203368,103488032651,33007,NOVA FRIBURGO,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,1251,10361824285,157524170718
3300605,BOM JESUS DO ITABAPOANA,RJ,596659399266,9281978448,462111051028,120832025397,33001,ITAPERUNA,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,1211,121760223241,341279025631
3300704,CABO FRIO,RJ,413574893559,128822963634,19589475343,270280762104,33010,LAGOS,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,184,399103725737,16886667722
3300803,CACHOEIRAS DE MACACU,RJ,954748837017,294006263609,320353346425,124192833212,33016,MACACU-CACERIBU,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,1295,418199096821,196160513213
3300902,CAMBUCI,RJ,558281185583,443349981118,363259905174,865430087561,33002,SANTO ANTÔNIO DE PÁDUA,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,1054,130878006868,276716896418
3300936,CARAPEBUS,RJ,304884743238,670608766078,105418227954,224479321556,33004,MACAÉ,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,174,895088087634,829702957981
3300951,COMENDADOR LEVY GASPARIAN,RJ,108639396108,0,411117561269,152166797645,33005,TRÊS RIOS,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,45,152166797645,258950763624
3301009,CAMPOS DOS GOYTACAZES,RJ,403248715919,212894542856,216494496796,42488295263,33003,CAMPOS DOS GOYTACAZES,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,4436,637777495486,174006201533
3301108,CANTAGALO,RJ,747210378788,0,505706008108,15582003293,33006,CANTAGALO-CORDEIRO,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,1101,15582003293,349885975178
3301157,CARDOSO MOREIRA,RJ,522596196024,0,342091359061,902903499137,33003,CAMPOS DOS GOYTACAZES,33,RIO DE JANEIRO,SUDESTE,Mata Atlântica,Mata Atlântica,664,902903499137,251801009147
