"ano","nome_gas","qtd_em","qtd_rem","qtd_em_liquida"
"2009-01-01","CO2e","6.9427395e+09","-2.2275666e+09","4.715173e+09"
"2010-01-01","CO2e","6.9760256e+09","-2.2562427e+09","4.719783e+09"
"2011-01-01","CO2e","7.1672827e+09","-2.3011735e+09","4.8661094e+09"
"2012-01-01","CO2e","7.416272e+09","-2.3518853e+09","5.0643866e+09"
"2017-01-01","CO2e","7.824145e+09","-2.5129795e+09","5.3111654e+09"
"2018-01-01","CO2e","7.9199964e+09","-2.5547584e+09","5.365238e+09"
"2014-01-01","CO2e","7.821345e+09","-2.432333e+09","5.389012e+09"
"2013-01-01","CO2e","8.138478e+09","-2.3983388e+09","5.7401395e+09"
"2016-01-01","CO2e","8.2618143e+09","-2.4947382e+09","5.767076e+09"
"2015-01-01","CO2e","8.2350756e+09","-2.466601e+09","5.7684746e+09"
